movieId,title,genres,keywords
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,toy|toy-comes-to-life|rivalry|cowboy|claw-crane|enemies-become-friends|piggy-bank|computer-animation|dog|two-word-title
2,Jumanji (1995),Adventure|Children|Fantasy,board-game|adventurer|fight|game|year-1995|drumbeat|jumanji|franchise|first-of-series|first-part
3,Grumpier Old Men (1995),Comedy|Romance,sequel|boat|lake|neighbor|rivalry|minnesota|marriage|fish|fisherman|motorboat
4,Waiting to Exhale (1995),Comedy|Drama|Romance,black-american|husband-wife-relationship|betrayal|mother-son-relationship|f-rated|friendship|friend|friendship-between-women|melodrama|suburbanite
5,Father of the Bride Part II (1995),Comedy,fatherhood|doberman|dog|mansion|basketball|house|wrecking-ball|sleeping-pill|hospital|woman-having-a-baby
6,Heat (1995),Action|Crime|Thriller,gun-battle|armored-car-robbery|gunfight|organized-crime|honor|based-on-true-story|criminal-investigation|taken-in-for-questioning|murder-investigation|usa
7,Sabrina (1995),Comedy|Romance,character-name-as-title|automobile|british-car|bentley-motor-vehicle|bentley-the-car|mistaken-identity|fashion-assistant|family-business|kiss|flat-screen-television
8,Tom and Huck (1995),Adventure|Children,rescue-from-drowning|near-drowning|character-names-as-title|forenames-as-title|nicknames-as-title|huckleberry-finn-character|tom-sawyer-character|becky-thatcher-character|injun-joe-character|aunt-polly-character
9,Sudden Death (1995),Action,ice-hockey|hockey|death-in-title|two-word-title|universal|fbi-federal-bureau-of-investigation|child-in-jeopardy|cia-central-intelligence-agency|evacuation|bravery
10,GoldenEye (1995),Action|Adventure|Thriller,official-james-bond-series|official-bond-film|british-secret-service|cossack|james-bond-character|evil-woman|007|opening-action-scene|returning-character-with-different-actor|hand-to-hand-combat
11,"American President, The (1995)",Comedy|Drama|Romance,president|politics|christmas|dating|reference-to-franklin-d.-roosevelt|reference-to-martin-van-buren|speechwriter|bouquet|cult-favorite|the-white-house
12,Dracula: Dead and Loving It (1995),Comedy|Horror,dracula|vampire|insane-asylum|jonathan-harker-character|mina-murray-character|lucy-westenra-character|renfield-character|van-helsing-character|dr-jack-seward-character|no-reflection-in-a-mirror
13,Balto (1995),Adventure|Animation|Children,dog|nome-alaska|alaska|goose|dog-sled|bully|bear-attack|snow|avalanche|animal-protagonist
14,Nixon (1995),Drama,american-politics|political-leader|year-1972|year-1973|alcoholic-drink|tape-recording|nixon|evil-politician|nixon-resignation|surname-as-title
15,Cutthroat Island (1995),Action|Adventure|Romance,treasure|pirate|treasure-map|pirate-ship|sword-fight|female-protagonist|monkey|17th-century|island|female-pirate
16,Casino (1995),Crime|Drama,crime-epic|gambling|las-vegas-nevada|rise-and-fall|casino|mafia|italian-mafia|gangster|multiple-narrators|female-nudity
17,Sense and Sensibility (1995),Drama|Romance,based-on-novel|visit|title-same-as-book|opening-a-door|bed|dinner|fall|medical-examination|jealousy|horse-riding
18,Four Rooms (1995),Comedy,neo-screwball-comedy|anthology-film|gagged-woman|tied-to-a-chair|weapon|revolver|hotel-room|dead-body|portmanteau-film|omnibus-film
19,Ace Ventura: When Nature Calls (1995),Comedy,kidnapping|caught-masturbating|fictional-country|slapstick-comedy|cult-favorite|chief|bare-shoulders|ace-ventura-character|five-word-title|princess
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,train|new-year's-eve|subway-station|pretending-to-be-drunk|ticket-booth|gambling-debt|arsonist|transit-cop|hispanic-american|banter
21,Get Shorty (1995),Comedy|Crime|Thriller,movie-business|loan-shark|hare-krishna|cool|dark-comedy|dea-drug-enforcement-administration|satirical|nylon-leg|showbiz-comedy|man-punches-a-woman
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,serial-killer|copycat-killer|copycat-murder|female-protagonist|psychopath|dead-body-in-a-bathtub|detective|murder|agoraphobia|psychological-thriller
23,Assassins (1995),Action|Crime|Thriller,female-police-officer-uniformed|assassin|rival|gun-fu|assassination|computer-hacker|limousine|slow-motion-scene|rain|surveillance
24,Powder (1995),Drama|Sci-Fi,albino|electricity|loneliness|bully|spoon|christ-allegory|mutant|struck-by-lightning|electrocution|magnet
25,Leaving Las Vegas (1995),Drama|Romance,alcoholism|alcoholic|falling-in-love-with-a-prostitute|based-on-novel|prostitute|las-vegas-nevada|prostitution|tragedy|sex|anal-rape
26,Othello (1995),Drama,jealousy|shakespeare-play|conspiracy|tragedy|italy|columbia-tristar|columbia-tristar-home-video|timeframe-16th-century|scheme|lieutenant
27,Now and Then (1995),Children|Drama,1970s|year-1991|1990s|year-1970|coming-of-age|friendship|fashion-magazine|riding-a-bicycle|bike-riding|slumber-party
28,Persuasion (1995),Drama|Romance,
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,psychotronic-film|underwater-scene|slimehouse|steampunk-fantasy|steampunk-sci-fi|child-in-jeopardy|fairground|strong-man|pickpocket|bare-chested-male
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,
31,Dangerous Minds (1995),Drama,teacher-student-relationship|ex-marine|pregnancy|reference-to-dylan-thomas|divorcee|pregnant-teenager|reference-to-bob-dylan|inspirational-teacher|hope|choice
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,
